59:12.2,313
59:12.2,293
59:12.2,297
59:12.2,295
59:12.2,301
59:12.2,296
59:12.2,4
59:12.2,296
59:12.2,302
59:12.2,305
59:12.2,305
59:12.2,306
59:12.2,303
59:12.2,309
59:12.2,307
59:12.2,303
59:12.2,291
59:12.2,309
59:12.2,296
59:12.2,308
59:12.2,294
59:12.2,303
59:12.2,291
59:12.2,294
59:12.2,293
59:12.2,300
59:12.2,293
59:12.2,293
59:12.2,297
59:12.2,295
59:12.2,301
59:12.2,296
59:12.2,4
59:12.2,296
59:12.2,302
59:12.2,305
59:12.2,305
59:12.2,306
59:12.2,303
59:12.2,309
59:12.2,307
59:12.2,303
59:12.2,291
59:12.2,309
59:12.2,296
59:12.2,308
59:12.2,294
59:12.2,303
59:12.2,291
59:12.2,294
59:12.2,293
59:12.2,300
59:12.2,293
59:12.2,293
59:12.2,297
59:12.2,295
59:12.2,301
59:12.2,296
59:12.2,308
59:12.2,294
59:12.2,300
59:12.2,298
59:12.2,304
59:12.2,302
59:12.2,305
59:12.2,307
59:12.2,306
59:12.3,309
59:12.3,300
59:12.3,307
59:12.3,306
59:12.3,307
59:12.3,303
59:12.3,307
59:12.3,298
59:12.3,291
59:12.3,307
59:12.4,294
59:12.4,298
59:12.4,299
59:12.4,305
59:12.4,299
59:12.4,300
59:12.4,293
59:12.4,306
59:12.4,304
59:12.4,308
59:12.5,308
59:12.5,303
59:12.5,292
59:12.5,297
59:12.5,306
59:12.5,293
59:12.5,297
59:12.5,307
59:12.5,302
59:12.6,303
59:12.6,295
59:12.6,294
59:12.6,292
59:12.6,295
59:12.6,294
59:12.6,305
59:12.6,305
59:12.6,304
59:12.6,304
59:12.7,303
59:12.7,297
59:12.7,306
59:12.7,302
59:12.7,297
59:12.7,313
59:12.7,303
59:12.7,305
59:12.7,309
59:12.7,301
59:12.8,310
59:12.8,297
59:12.8,303
59:12.8,295
59:12.8,304
59:12.8,301
59:12.8,306
59:12.8,302
59:12.8,307
59:12.8,299
59:12.9,297
59:12.9,300
59:12.9,308
59:12.9,311
59:12.9,303
59:12.9,302
59:12.9,298
59:12.9,304
59:12.9,303
59:12.9,295
59:13.0,301
59:13.0,307
59:13.0,299
59:13.0,302
59:13.0,294
59:13.0,299
59:13.0,308
59:13.0,304
59:13.0,306
59:13.1,303
59:13.1,312
59:13.1,300
59:13.1,305
59:13.1,309
59:13.1,308
59:13.1,302
59:13.1,308
59:13.1,299
59:13.1,302
59:13.2,295
59:13.2,299
59:13.2,294
59:13.2,307
59:13.2,293
59:13.2,304
59:13.2,302
59:13.2,292
59:13.2,308
59:13.2,294
59:13.3,306
59:13.3,304
59:13.3,297
59:13.3,312
59:13.3,304
59:13.3,302
59:13.3,309
59:13.3,308
59:13.3,308
59:13.4,294
59:13.4,298
59:13.4,293
59:13.4,308
59:13.4,309
59:13.4,308
59:13.4,307
59:13.4,302
59:13.4,301
59:13.4,298
59:13.5,300
59:13.5,307
59:13.5,297
59:13.5,300
59:13.5,297
59:13.5,299
59:13.5,300
59:13.5,306
59:13.5,293
59:13.5,302
59:13.6,302
59:13.6,294
59:13.6,293
59:13.6,307
59:13.6,303
59:13.6,295
59:13.6,299
59:13.6,303
59:13.6,305
59:13.6,306
59:13.7,300
59:13.7,298
59:13.7,298
59:13.7,293
59:13.7,298
